fy_year,edition,kohi,found_rows,national_total,source,url,workbook_note,found_detail
2014,1,,0,,薬剤_注射 都道府県別薬効分類別数量_0000139850.xlsx,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000139850.xlsx,診療年月：H26年04月～H27年03月,
2015,2,,0,,処方薬（内服／外用／注射）_注射_都道府県別薬効分類別数量_0000177297.xlsx,https://www.mhlw.go.jp/file/06-Seisakujouhou-12400000-Hokenkyoku/0000177297.xlsx,診療年月：H27年04月～H28年03月　注射薬 外来（院内）,
2016,3,,1,2698.62,処方薬（内服／外用／注射）_注射_都道府県別薬効分類別数量_000347799.xlsx,https://www.mhlw.go.jp/content/12400000/000347799.xlsx,診療年月：H28年04月～H29年03月　注射薬 外来（院内）　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は総計以外全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,注射薬 外来 (院内) row 2448 622489201 ゾーフィゴ静注 total=2698.6200000000003
2017,4,,1,8316.656,処方薬（内服／外用／注射）_注射_都道府県別薬効分類別数量_000730525.xlsx,https://www.mhlw.go.jp/content/12400000/000730525.xlsx,診療年月：H29年04月～H30年03月　注射薬 外来（院内）　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は総計以外全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,注射薬 外来 (院内) row 2414 622489201 ゾーフィゴ静注 total=8316.656
2018,5,,1,5851.644,処方薬（内服／外用／注射）_注射_都道府県別薬効分類別数量_000560117.xlsx,https://www.mhlw.go.jp/content/12400000/000560117.xlsx,診療年月：H30年04月～H31年03月　注射薬 外来（院内）　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は400以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,注射薬 外来 (院内) row 2409 622489201 ゾーフィゴ静注 total=5851.643999999999
2019,6,,1,5292.32,処方薬（内服／外用／注射）_注射_都道府県別薬効分類別数量_000821771.xlsx,https://www.mhlw.go.jp/content/12400000/000821771.xlsx,診療年月：H31年04月～R02年03月　注射薬 外来 (院内)　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は400以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,注射薬 外来 (院内) row 2361 622489201 ゾーフィゴ静注 total=5292.32
2020,7,,1,4782.08786,処方薬_注射_都道府県別薬効分類別数量_001262348.xlsx,https://www.mhlw.go.jp/content/12400000/001262348.xlsx,診療年月：2020年04月～2021年03月　注射薬 外来 (院内)　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は400以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、変更後の情報で表示,注射薬 外来 (院内) row 2407 622489201 ゾーフィゴ静注 total=4782.08786
2021,8,,1,4461.95714,処方薬_注射_都道府県別薬効分類別数量_001122635.xlsx,https://www.mhlw.go.jp/content/12400000/001122635.xlsx,診療年月：2021年04月～2022年03月　注射薬 外来 (院内)　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は400以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、変更後の情報で表示,注射薬 外来 (院内) row 2432 622489201 ゾーフィゴ静注 total=4461.95714
2022,9,,0,,処方薬_注射_都道府県別薬効分類別数量_001258716.xlsx,https://www.mhlw.go.jp/content/12400000/001258716.xlsx,診療年月：2022年04月～2023年03月　注射薬 外来 (院内)　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は400以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、変更後の情報で表示,
2023,10,公費レセプト含まない,0,,処方薬_公費レセプト含まない（一括）_001499737.zip::05_処方薬_シート統合後(公開対象)/01_処方薬（内服／外用／注射）/【注射】都道府県別薬効分類別数量.xlsx,https://www.mhlw.go.jp/content/12400000/001499737.zip,診療年月：2023年04月～2024年03月　注射薬 外来 (院内)　※公費レセプトは除く　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は400以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、変更後の情報で表示,
2024,11,公費レセプト含まない,2,4083.113,処方薬_公費レセプト含まない（一括）_001711930.zip::05_処方薬_シート統合後(公開対象)/01_処方薬（内服／外用／注射）全/【注射】都道府県別薬効分類別数量.xlsx,https://www.mhlw.go.jp/content/12400000/001711930.zip,診療年月：2024年04月～2025年03月　注射薬 外来 (院内)　※公費レセプトは除く　※集計結果が400未満の場合は「‐」で表示（400未満の箇所が1箇所の場合は400以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、変更後の情報で表示,注射薬 外来 (院内) row 2888 622489201 ゾーフィゴ静注 total=4083.113; 注射薬 入院 row 3016 622489201 ゾーフィゴ静注 total=None
